f / Hz,Re(V) / V,Im(V) / V
1.45E+00,4.09306575351339e-01,-2.40095709663524e+00
1.46E+00,3.93236475342224e-01,-2.38821267605427e+00
1.46E+00,3.77519693061858e-01,-2.37540356817473e+00
1.47E+00,3.62151382832810e-01,-2.36253807246854e+00
1.47E+00,3.47126589358025e-01,-2.34962416348165e+00
1.48E+00,3.32440261742733e-01,-2.33666949674866e+00
1.48E+00,3.18087266787448e-01,-2.32368141505088e+00
1.49E+00,3.04062401566613e-01,-2.31066695497031e+00
1.49E+00,2.90360405309125e-01,-2.29763285369547e+00
1.49E+00,2.76975970598492e-01,-2.28458555603745e+00
1.50E+00,2.63903753911570e-01,-2.27153122161785e+00
1.50E+00,2.51138385515859e-01,-2.25847573219264e+00
1.51E+00,2.38674478746144e-01,-2.24542469907902e+00
1.51E+00,2.26506638681868e-01,-2.23238347065455e+00
1.52E+00,2.14629470247119e-01,-2.21935713990068e+00
1.52E+00,2.03037585755275e-01,-2.20635055196484e+00
1.53E+00,1.91725611920686e-01,-2.19336831171771e+00
1.53E+00,1.80688196359602e-01,-2.18041479128437e+00
1.54E+00,1.69920013602678e-01,-2.16749413753000e+00
1.54E+00,1.59415770640953e-01,-2.15461027948277e+00
1.55E+00,1.49170212027209e-01,-2.14176693567845e+00
1.55E+00,1.39178124554019e-01,-2.12896762141270e+00
1.56E+00,1.29434341529539e-01,-2.11621565588887e+00
1.56E+00,1.19933746671644e-01,-2.10351416925055e+00
1.57E+00,1.10671277640311e-01,-2.09086610948931e+00
1.57E+00,1.01641929227873e-01,-2.07827424921954e+00
1.58E+00,9.28407562259868e-02,-2.06574119231360e+00
1.58E+00,8.42628759875991e-02,-2.05326938039117e+00
1.59E+00,7.59034707016524e-02,-2.04086109915818e+00
1.59E+00,6.77577893975214e-02,-2.02851848459132e+00
1.60E+00,5.98211496956392e-02,-2.01624352896518e+00
1.60E+00,5.20889393200004e-02,-2.00403808671964e+00
1.61E+00,4.45566173877215e-02,-1.99190388016606e+00
1.61E+00,3.72197154900803e-02,-1.97984250503143e+00
1.62E+00,3.00738385788745e-02,-1.96785543583998e+00
1.62E+00,2.31146656712948e-02,-1.95594403113270e+00
1.62E+00,1.63379503859024e-02,-1.94410953852532e+00
1.63E+00,9.73952132167147e-03,-1.93235309960600e+00
1.63E+00,3.31528229148988e-03,-1.92067575467403e+00
1.64E+00,-2.93878757910301e-03,-1.90907844732172e+00
1.64E+00,-9.02663387765159e-03,-1.89756202886125e+00
1.65E+00,-1.49521270453189e-02,-1.88612726259919e+00
1.65E+00,-2.07190626230755e-02,-1.87477482796108e+00
1.66E+00,-2.63311615947922e-02,-1.86350532446909e+00
1.66E+00,-3.17920708191404e-02,-1.85231927557555e+00
1.67E+00,-3.71053635425213e-02,-1.84121713235563e+00
1.67E+00,-4.22745399858267e-02,-1.83019927706233e+00
1.68E+00,-4.73030279981261e-02,-1.81926602654705e+00
1.68E+00,-5.21941837709550e-02,-1.80841763554926e+00
1.69E+00,-5.69512926070948e-02,-1.79765429985862e+00
1.69E+00,-6.15775697382749e-02,-1.78697615935308e+00
1.70E+00,-6.60761611864744e-02,-1.77638330091637e+00
1.70E+00,-7.04501446638800e-02,-1.76587576123858e+00
1.71E+00,-7.47025305069248e-02,-1.75545352950309e+00
1.71E+00,-7.88362626400465e-02,-1.74511654996356e+00
1.72E+00,-8.28542195652074e-02,-1.73486472441430e+00
1.72E+00,-8.67592153733878e-02,-1.72469791455749e+00
1.73E+00,-9.05540007746456e-02,-1.71461594427065e+00
1.73E+00,-9.42412641434455e-02,-1.70461860177772e+00
1.74E+00,-9.78236325763477e-02,-1.69470564172696e+00
1.74E+00,-1.01303672959220e-01,-1.68487678717899e+00
1.74E+00,-1.04683893041476e-01,-1.67513173150806e+00
1.75E+00,-1.07966742514950e-01,-1.66547014021971e+00
1.75E+00,-1.11154614095242e-01,-1.65589165268781e+00
1.76E+00,-1.14249844603543e-01,-1.64639588381396e+00
1.76E+00,-1.17254716047095e-01,-1.63698242561213e+00
1.77E+00,-1.20171456696625e-01,-1.62765084872135e+00
1.77E+00,-1.23002242159208e-01,-1.61840070384921e+00
1.78E+00,-1.25749196445154e-01,-1.60923152314876e+00
1.78E+00,-1.28414393027658e-01,-1.60014282153157e+00
1.79E+00,-1.30999855894077e-01,-1.59113409791918e+00
1.79E+00,-1.33507560587740e-01,-1.58220483643564e+00
1.80E+00,-1.35939435239426e-01,-1.57335450754340e+00
1.80E+00,-1.38297361587599e-01,-1.56458256912469e+00
1.81E+00,-1.40583175986705e-01,-1.55588846751092e+00
1.81E+00,-1.42798670402833e-01,-1.54727163846186e+00
1.82E+00,-1.44945593396154e-01,-1.53873150809701e+00
1.82E+00,-1.47025651089649e-01,-1.53026749378086e+00
1.83E+00,-1.49040508123637e-01,-1.52187900496416e+00
1.83E+00,-1.50991788595756e-01,-1.51356544398300e+00
1.84E+00,-1.52881076986046e-01,-1.50532620681745e+00
1.84E+00,-1.54709919066868e-01,-1.49716068381150e+00
1.85E+00,-1.56479822797444e-01,-1.48906826035602e+00
1.85E+00,-1.58192259202814e-01,-1.48104831753627e+00
1.86E+00,-1.59848663237126e-01,-1.47310023274549e+00
1.86E+00,-1.61450434631072e-01,-1.46522338026612e+00
1.87E+00,-1.62998938723534e-01,-1.45741713182003e+00
1.87E+00,-1.64495507277275e-01,-1.44968085708915e+00
1.87E+00,-1.65941439278796e-01,-1.44201392420774e+00
1.88E+00,-1.67338001722312e-01,-1.43441570022767e+00
1.88E+00,-1.68686430377918e-01,-1.42688555155790e+00
1.89E+00,-1.69987930544053e-01,-1.41942284437923e+00
1.89E+00,-1.71243677784313e-01,-1.41202694503558e+00
1.90E+00,-1.72454818648763e-01,-1.40469722040275e+00
1.90E+00,-1.73622471379859e-01,-1.39743303823580e+00
1.91E+00,-1.74747726603154e-01,-1.39023376749590e+00
1.91E+00,-1.75831648002920e-01,-1.38309877865775e+00
1.92E+00,-1.76875272982878e-01,-1.37602744399837e+00
1.92E+00,-1.77879613312217e-01,-1.36901913786815e+00
