in s,C1 in V,C2 in V
-4.329600E+00,5.56641E-01,-1.87012E+00
-4.328640E+00,5.95703E-01,-1.87988E+00
-4.327680E+00,5.56641E-01,-1.84082E+00
-4.326720E+00,5.37109E-01,-1.86035E+00
-4.325760E+00,6.54297E-01,-1.84082E+00
-4.324800E+00,5.95703E-01,-1.81152E+00
-4.323840E+00,5.76172E-01,-1.76270E+00
-4.322880E+00,6.34766E-01,-1.76270E+00
-4.321920E+00,6.73828E-01,-1.75293E+00
-4.320960E+00,7.12891E-01,-1.75293E+00
-4.320000E+00,6.34766E-01,-1.72363E+00
-4.319040E+00,7.32422E-01,-1.71387E+00
-4.318080E+00,7.51953E-01,-1.69434E+00
-4.317120E+00,7.32422E-01,-1.68457E+00
-4.316160E+00,7.71484E-01,-1.68457E+00
-4.315200E+00,7.91016E-01,-1.68457E+00
-4.314240E+00,7.51953E-01,-1.67480E+00
-4.313280E+00,7.91016E-01,-1.62598E+00
-4.312320E+00,7.91016E-01,-1.61621E+00
-4.311360E+00,7.51953E-01,-1.59668E+00
-4.310400E+00,8.49609E-01,-1.59668E+00
-4.309440E+00,8.69141E-01,-1.55762E+00
-4.308480E+00,8.69141E-01,-1.54785E+00
-4.307520E+00,8.69141E-01,-1.53809E+00
-4.306560E+00,8.69141E-01,-1.53809E+00
-4.305600E+00,9.27734E-01,-1.45996E+00
-4.304640E+00,9.27734E-01,-1.48926E+00
-4.303680E+00,8.88672E-01,-1.50879E+00
-4.302720E+00,9.27734E-01,-1.47949E+00
-4.301760E+00,9.86328E-01,-1.45020E+00
