time	V(y)	V(triangle)
3.339214865888351e-02	-3.480943e-02	1.295686e-01
3.348072119463552e-02	-3.495902e-02	1.299229e-01
3.355626041236093e-02	-3.508636e-02	1.302250e-01
3.363088161046690e-02	-3.521187e-02	1.305235e-01
3.372206232590713e-02	-3.536495e-02	1.308883e-01
3.379841509961423e-02	-3.549301e-02	1.311937e-01
3.387378890315418e-02	-3.561933e-02	1.314952e-01
3.396421665992833e-02	-3.577071e-02	1.318569e-01
3.404042580844902e-02	-3.589804e-02	1.321617e-01
3.411560608379105e-02	-3.602337e-02	1.324624e-01
3.420483378404526e-02	-3.617185e-02	1.328193e-01
3.428074454787478e-02	-3.629804e-02	1.331230e-01
3.435563421232501e-02	-3.642244e-02	1.334225e-01
3.444469704765396e-02	-3.657022e-02	1.337788e-01
3.452060098810605e-02	-3.669592e-02	1.340824e-01
3.459549637716819e-02	-3.681967e-02	1.343820e-01
3.468483547031198e-02	-3.696702e-02	1.347393e-01
3.476086172679160e-02	-3.709228e-02	1.350434e-01
3.483587854360337e-02	-3.721578e-02	1.353435e-01
3.492533425295363e-02	-3.736288e-02	1.357013e-01
3.500144669013494e-02	-3.748781e-02	1.360058e-01
3.507653940519262e-02	-3.761077e-02	1.363062e-01
3.516585853123644e-02	-3.775676e-02	1.366634e-01
3.524198022380531e-02	-3.788105e-02	1.369679e-01
3.531707674498463e-02	-3.800357e-02	1.372683e-01
3.540626710762496e-02	-3.814891e-02	1.376251e-01
3.548240245463319e-02	-3.827275e-02	1.379296e-01
3.555750877166375e-02	-3.839461e-02	1.382300e-01
3.564661877497244e-02	-3.853894e-02	1.385865e-01
3.572277706216198e-02	-3.866216e-02	1.388911e-01
3.579790476667455e-02	-3.878361e-02	1.391916e-01
3.588698890590791e-02	-3.892747e-02	1.395480e-01
3.596319046238250e-02	-3.905027e-02	1.398528e-01
3.603835677676415e-02	-3.917112e-02	1.401534e-01
3.612737910772168e-02	-3.931398e-02	1.405095e-01
3.620361012953310e-02	-3.943618e-02	1.408144e-01
3.627880283375617e-02	-3.955663e-02	1.411152e-01
3.636777085982246e-02	-3.969897e-02	1.414711e-01
3.644403763813031e-02	-3.982075e-02	1.417761e-01
3.651926124653926e-02	-3.994057e-02	1.420770e-01
3.660815048192845e-02	-4.008189e-02	1.424326e-01
3.668444197930043e-02	-4.020306e-02	1.427378e-01
3.675968775217342e-02	-4.032247e-02	1.430387e-01
3.684852504131797e-02	-4.046328e-02	1.433941e-01
3.692485302573800e-02	-4.058402e-02	1.436994e-01
3.700013077632036e-02	-4.070280e-02	1.440005e-01
3.708889586512498e-02	-4.084261e-02	1.443556e-01
3.716525074288057e-02	-4.096273e-02	1.446610e-01
3.724055286906491e-02	-4.108111e-02	1.449622e-01
3.732926722522478e-02	-4.122040e-02	1.453171e-01
3.740565927324724e-02	-4.134010e-02	1.456226e-01
3.748099405112626e-02	-4.145785e-02	1.459240e-01
3.756963454853945e-02	-4.159614e-02	1.462785e-01
3.764605337148907e-02	-4.171523e-02	1.465842e-01
